"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"2","12.242008s","0.000000s","192.168.0.41","192.168.0.42","TCP","74","0","","","29200","33947 > 49200 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=127201307 TSecr=0 WS=128"
"3","12.242224s","0.000216s","192.168.0.42","192.168.0.41","TCP","74","0","1","","28960","49200 > 33947 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=4226904 TSecr=127201307 WS=128"
"4","12.242252s","0.000028s","192.168.0.41","192.168.0.42","TCP","66","1","1","","29312","33947 > 49200 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=127201307 TSecr=4226904"
"5","12.242277s","0.000025s","192.168.0.41","192.168.0.42","TCP","1514","1","1","1448","29312","33947 > 49200 [ACK] Seq=1 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"6","12.242292s","0.000015s","192.168.0.41","192.168.0.42","TCP","1514","1449","1","2896","29312","33947 > 49200 [ACK] Seq=1449 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"7","12.242306s","0.000014s","192.168.0.41","192.168.0.42","TCP","1514","2897","1","4344","29312","33947 > 49200 [ACK] Seq=2897 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"8","12.242321s","0.000015s","192.168.0.41","192.168.0.42","TCP","1514","4345","1","5792","29312","33947 > 49200 [ACK] Seq=4345 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"9","12.242335s","0.000014s","192.168.0.41","192.168.0.42","TCP","1514","5793","1","7240","29312","33947 > 49200 [ACK] Seq=5793 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"10","12.242349s","0.000014s","192.168.0.41","192.168.0.42","TCP","1514","7241","1","8688","29312","33947 > 49200 [ACK] Seq=7241 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"11","12.242362s","0.000013s","192.168.0.41","192.168.0.42","TCP","1514","8689","1","10136","29312","33947 > 49200 [ACK] Seq=8689 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"12","12.242376s","0.000014s","192.168.0.41","192.168.0.42","TCP","1514","10137","1","11584","29312","33947 > 49200 [ACK] Seq=10137 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"13","12.242390s","0.000014s","192.168.0.41","192.168.0.42","TCP","1514","11585","1","13032","29312","33947 > 49200 [ACK] Seq=11585 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"14","12.242403s","0.000013s","192.168.0.41","192.168.0.42","TCP","1514","13033","1","14480","29312","33947 > 49200 [ACK] Seq=13033 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"15","12.242495s","0.000092s","192.168.0.42","192.168.0.41","TCP","66","1","1449","","31872","49200 > 33947 [ACK] Seq=1 Ack=1449 Win=31872 Len=0 TSval=4226904 TSecr=127201307"
"16","12.242510s","0.000015s","192.168.0.41","192.168.0.42","TCP","1514","14481","1","14480","29312","33947 > 49200 [PSH, ACK] Seq=14481 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"17","12.242514s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","15929","1","15928","29312","33947 > 49200 [ACK] Seq=15929 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"18","12.242519s","0.000005s","192.168.0.42","192.168.0.41","TCP","66","1","2897","","34816","49200 > 33947 [ACK] Seq=1 Ack=2897 Win=34816 Len=0 TSval=4226904 TSecr=127201307"
"19","12.242525s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","17377","1","15928","29312","33947 > 49200 [ACK] Seq=17377 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"20","12.242528s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","18825","1","17376","29312","33947 > 49200 [ACK] Seq=18825 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"21","12.242531s","0.000003s","192.168.0.42","192.168.0.41","TCP","66","1","4345","","37760","49200 > 33947 [ACK] Seq=1 Ack=4345 Win=37760 Len=0 TSval=4226904 TSecr=127201307"
"22","12.242537s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","20273","1","17376","29312","33947 > 49200 [ACK] Seq=20273 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"23","12.242540s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","21721","1","18824","29312","33947 > 49200 [ACK] Seq=21721 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"24","12.242543s","0.000003s","192.168.0.42","192.168.0.41","TCP","66","1","5793","","40576","49200 > 33947 [ACK] Seq=1 Ack=5793 Win=40576 Len=0 TSval=4226904 TSecr=127201307"
